adcode,name,Average upload speed(Mbps),Average download speed(Mbps)
110000,Beijing,39.88,276.14
120000,Tianjin City,38.04,184.84
130000,Hebei Province,43.75,251.89
140000,Shanxi Province,43.09,301.33
150000,Inner Mongolia Autonomous Region,40.31,213.23
210000,Liaoning Province,40.4,219.27
220000,Jilin Province,58.79,310.73
230000,Heilongjiang Province,48.38,264.78
310000,Shanghai,40.82,201.82
320000,Jiangsu Province,32.68,167.33
330000,Zhejiang Province,42.24,261.67
340000,Anhui Province,44.74,307.87
350000,Fujian Province,48.38,288.08
360000,Jiangxi Province,49.03,285.4
370000,Shandong Province,37.72,225.02
410000,Henan Province,39.32,255.13
420000,Hubei Province,48.64,288.37
430000,Hunan Province,52.96,289.1
440000,Guangdong Province,36.7,214.76
450000,Guangxi Zhuang Autonomous Region,38.7,215.46
460000,Hainan Province,38.1,191.62
500000,Chongqing City,37.19,213.55
510000,Sichuan Province,46.36,303.71
520000,Guizhou Province,47.84,278.53
530000,Yunnan Province,40.1,316.03
540000,Tibet Autonomous Region,50.57,250.13
610000,Shaanxi Province,45.03,236.58
620000,Gansu Province,46.91,232.75
630000,Qinghai Province,62.92,421.82
640000,Ningxia Hui Autonomous Region,49.23,210.45
650000,Xinjiang Uygur Autonomous Region,38.68,168.15
710000,Taiwan Province,18.85,111.7
810000,Hong Kong Special Administrative Region,18.91,97.31
820000,Macau Special Administrative Region,23.45,68.37
