postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E105AB,E10 5AB,E,79.7,76.9,205,,18.3,92.9,92.9,,20,14.3,21,,1,18,18,,0,0,0,3,11,0,11,538,558,,343,592,592,
E105AD,E10 5AD,E,78.1,111.5,593,,16.3,100.8,133.5,526.5,10,13.7,39,,1.2,14.9,16.7,37.5,0,0,0,6,24,2,26,537,396,,419,586,544,41
E105AH,E10 5AH,E,107,114.1,331,10,19,113.1,124.5,331,19.5,15.7,36,1,1,16.2,17.3,36,0,0,1,1,18,1,19,669,613,562,891,662,627,0
E105AJ,E10 5AJ,E,78.1,83.1,205,,14.5,93.8,93.8,,10,10.8,21,,1,12.3,12.3,,0,0,0,2,13,0,13,321,241,,218,312,312,
E105AL,E10 5AL,E,70.9,144.3,593,5,23,89.7,186.8,526.5,16.1,17,39,3,8,15.7,20.6,37.5,0,0,1,2,7,2,9,515,242,110,1255,356,338,275
E105AP,E10 5AP,E,64.3,80.3,205,,14.6,98.5,98.5,,10,10.5,21,,1.6,12.9,12.9,,0,0,0,5,18,0,18,722,703,,527,736,736,
E105AR,E10 5AR,E,107,111.5,331,,18.4,110.9,158.1,331,10,11,36,,1.1,10.5,16,36,0,0,0,7,11,3,14,492,382,,364,498,486,441
E105AS,E10 5AS,E,21.5,122.7,1096,,16.4,105.5,248.3,629,1.2,9,49,,1.1,10.1,18.4,40.3,0,0,0,13,8,3,11,384,306,,422,185,234,366
E105AT,E10 5AT,E,107,102.8,205,8,,110.1,110.1,,14.8,14.4,21,1,,15.5,15.5,,0,0,1,0,13,0,13,786,401,278,,765,765,
E105AU,E10 5AU,E,40.5,63.5,205,10,13,115,115,,8.6,9.6,21,1,1,18,18,,0,0,1,2,3,0,3,226,158,254,88,308,308,
