postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EC1A4HD,EC1A 4HD,EC,17.5,16.9,39.76,4.5,17.5,40,40,,1,2.1,10,0.5,1,10,10,,1,0,1,4,1,0,1,415,7,7,411,0,0,
EC1A4HU,EC1A 4HU,EC,40,84.1,1000,5.3,14.7,79.6,150.4,1000,10,13.1,115,1,1,16.7,24.2,115,0,0,3,9,12,1,13,263,258,44,146,285,274,142
EC1A4JE,EC1A 4JE,EC,107,111.5,331,8,18,110.8,117.7,331,14.8,14.9,36,0,1,15.2,15.8,36,0,0,1,1,31,1,32,385,302,0,381,283,301,856
EC1A4JN,EC1A 4JN,EC,18.1,38.4,79.67,6,16,79,79,,1.3,8.1,20,1,1,20,20,,0,0,1,4,3,0,3,128,58,0,196,39,39,
EC1A4JQ,EC1A 4JQ,EC,76.6,75.4,331,7,19,74.8,100.4,331,20,14.9,36,0.5,1,18.8,20.5,36,0,0,2,2,9,1,10,116,32,1,32,147,156,241
EC1A7AB,EC1A 7AB,EC,9.8,9.1,12.32,7,11.3,,,,1.1,1,1.14,1,1,,,,0,1,3,4,0,0,0,172,92,46,213,,,
EC1A7BB,EC1A 7BB,EC,150,242.1,1000,2,,104.7,247.3,833.3,10,10,20,0,,1.1,0.9,0,1,0,0,0,37,9,46,171,3,3,,14,11,0
EC1A7BD,EC1A 7BD,EC,150,467,1000,8,,115.6,477,907.1,10,22.3,75,1,,3.2,3.4,3.6,0,0,1,0,25,21,46,311,265,5,,69,47,22
EC1A7BF,EC1A 7BF,EC,150,474.9,1000,,10,123.7,482,900,10.4,10.4,20,,1,0.6,0.3,0,0,0,0,1,35,30,65,434,434,,0,12,7,0
EC1A7BN,EC1A 7BN,EC,150,400,1000,,,137.5,400,750,,,,,,0,0,0,0,0,0,0,8,6,14,,,,,0,0,0
EC1A7BR,EC1A 7BR,EC,150,486,1000,,,126.9,486,875,220,220,220,,,0,8.8,18.3,0,0,0,0,13,12,25,747,747,,,0,30,62
