postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
N101AA,N10 1AA,N,68,57.8,79.67,8.5,14,64.4,64.4,,19.8,15.9,20,1,3.5,17.9,17.9,,0,0,2,2,28,0,28,743,460,0,225,780,780,
N101AB,N10 1AB,N,65.9,57.3,79.67,8,11,66.4,66.4,,19.5,15,20,1,1,17.7,17.7,,0,0,3,4,37,0,37,512,349,112,91,590,590,
N101AD,N10 1AD,N,43.1,49.9,66.77,,,49.9,49.9,,12.9,13.4,18.7,,,13.4,13.4,,0,0,0,0,7,0,7,546,432,,,546,546,
N101AE,N10 1AE,N,47.8,43.8,75.94,5,24,49.1,49.1,,10,10.8,17.28,1,7,12.1,12.1,,0,0,1,1,11,0,11,616,601,6,1069,631,631,
N101AF,N10 1AF,N,31.6,28.2,71.23,7.9,23,38.6,38.6,,7.2,6.5,20,1.4,6.6,8.5,8.5,,0,0,10,13,26,0,26,885,871,566,1239,831,831,
N101AG,N10 1AG,N,40,42.2,69.17,9,,47.7,47.7,,10,10.1,18.54,1,,11.7,11.7,,0,0,1,0,6,0,6,510,299,128,,574,574,
N101AH,N10 1AH,N,40,43.2,101.29,6,17,64.3,64.3,,11.4,11.1,20,0.7,4,16.9,16.9,,0,1,2,3,9,0,9,471,381,743,521,363,363,
N101AJ,N10 1AJ,N,76.2,77.4,158.45,,,77.4,77.4,,18.3,16.5,20,,,16.4,16.4,,0,0,0,0,7,0,7,573,338,,,573,573,
N101AL,N10 1AL,N,52.5,49.6,158.71,7.2,22,59,59,,11.3,12.3,29.38,0.8,7,14.7,14.7,,0,1,5,3,36,0,36,752,655,194,367,878,878,
N101AN,N10 1AN,N,52.4,45.8,76.11,7,15.8,53.5,53.5,,10,11.8,20,1,7.3,13.5,13.5,,0,0,3,4,31,0,31,741,480,269,770,783,783,
N101AP,N10 1AP,N,41.5,43.1,68.97,,18,51.5,51.5,,11,12.7,20,,7,14.7,14.7,,0,0,0,2,6,0,6,994,971,,951,1009,1009,
N101AR,N10 1AR,N,39.7,34.4,59.51,1,16.5,44.3,44.3,,6.6,6,11.58,1,2.5,7.7,7.7,,1,0,0,2,7,0,7,870,544,236,442,1083,1083,
N101AT,N10 1AT,N,70.9,57.9,79.67,7.5,23,73.1,73.1,,19.7,15,20,1,1,19.7,19.7,,0,0,2,1,9,0,9,681,603,279,180,826,826,
N101AX,N10 1AX,N,54.8,57.4,77.1,,,57.4,57.4,,17.9,16.5,20,,,16.5,16.5,,0,0,0,0,12,0,12,870,690,,,870,870,
N101BA,N10 1BA,N,74.7,75.1,120.21,,,75.1,75.1,,19.8,16.8,20,,,16.8,16.8,,0,0,0,0,10,0,10,499,405,,,449,449,
N101BB,N10 1BB,N,55.6,65.7,249.52,9,10.5,76.8,76.8,,19.5,15.3,35.41,1,1,18.2,18.2,,0,0,1,2,15,0,15,481,374,1017,297,470,470,
N101BD,N10 1BD,N,57.9,51.6,117.55,6,16.2,67.4,67.4,,13.9,11.9,20,0.7,2.3,16,16,,0,1,2,6,22,0,22,453,349,298,269,525,525,
N101BF,N10 1BF,N,35.2,30.7,50.05,7,22.3,38.8,38.8,,8.2,6.9,10.86,0.8,6.2,8.6,8.6,,0,1,5,6,24,0,24,439,305,175,393,516,516,
N101BJ,N10 1BJ,N,34.2,29.2,43.97,7.8,24.4,36.5,36.5,,7,6.1,9.76,0.8,6.3,7.4,7.4,,0,0,5,7,19,0,19,648,395,474,313,817,817,
N101BS,N10 1BS,N,79.6,87.8,205,,15,96.4,96.4,,19.5,14.6,21,,1,16.2,16.2,,0,0,0,2,17,0,17,417,379,,7,440,440,
N101BT,N10 1BT,N,75,71.3,163.54,,18,82,82,,10,12.8,38,,1,15.2,15.2,,0,0,0,3,15,0,15,272,258,,188,252,252,
N101BU,N10 1BU,N,107,114.1,331,,15.5,101.7,123.5,331,16.6,17.1,36,,10,15.8,17.8,36,0,0,0,2,19,2,21,519,507,,310,405,465,1028
N101BX,N10 1BX,N,107,103.6,205,,22,111.8,111.8,,19.1,16.5,29.98,,1,18,18,,0,0,0,1,10,0,10,471,467,,467,472,472,
N101BY,N10 1BY,N,79.9,120.3,328.03,,,104.3,120.3,328,20,20.1,49.95,,,17.8,20.1,50,0,0,0,0,13,1,14,377,184,,,374,350,42
N101DE,N10 1DE,N,79.7,120.3,593,,18.3,92.7,164.1,593,20,17.1,39,,0.7,21.7,24.1,39,0,0,0,3,6,1,7,213,191,,100,269,231,0
N101DJ,N10 1DJ,N,78.5,88.3,460,6.3,14.3,84.9,114.5,395.5,14.8,13.3,36,0.8,1,15.5,17.5,36,1,0,3,3,19,2,21,666,265,0,129,547,552,604
N101DN,N10 1DN,N,107,344.6,3574.09,,19,103.8,367.9,1952.5,19.5,62.5,717.2,,1,15.3,66.9,376.5,0,0,0,1,12,2,14,516,330,,110,545,546,551
N101DT,N10 1DT,N,66.4,76.1,205,,22,79.1,79.1,,10,14,21,,1,14.7,14.7,,0,0,0,1,18,0,18,534,181,,0,474,474,
N101DU,N10 1DU,N,93.5,106.9,460,2,18,99.4,113.8,395.5,10,14.5,36,3,7.5,14.1,15.1,36,0,1,0,2,39,2,41,396,234,166,259,357,360,434
N101EA,N10 1EA,N,56.1,105.6,593,9,19.5,82.9,126,488.2,10,12.3,39,5,2.9,11.6,14.4,37.8,0,0,1,10,42,5,47,439,297,856,334,392,350,0
N101EB,N10 1EB,N,16.9,16.4,20.65,,16.4,,,,1.1,1.1,1.23,,1.1,,,,0,0,0,14,0,0,0,361,260,,361,,,
N101ED,N10 1ED,N,16.7,17.8,38.16,,16.6,38,38,,1.1,1.5,8.04,,1.1,8,8,,0,0,0,17,1,0,1,422,410,,404,728,728,
N101EE,N10 1EE,N,107,78.6,205,4.5,16.6,105.6,105.6,,10,7.4,21,1,1,10.1,10.1,,1,0,1,5,17,0,17,400,287,37,696,309,309,
N101EG,N10 1EG,N,107,112.3,593,4.7,12.8,121,163.6,462,10,10.2,39,0.7,1,11.6,14.8,37.5,1,0,2,5,14,2,16,415,397,197,657,323,329,370
N101EH,N10 1EH,N,107,174,593,,18,101.9,188.2,418.3,10,16.2,39,,1,10.4,17.6,37,0,0,0,1,8,3,11,488,214,,93,561,479,262
N101EJ,N10 1EJ,N,107,95.3,205,,17,124.6,124.6,,10,9.1,21,,1,12.1,12.1,,0,0,0,3,8,0,8,379,243,,514,281,281,
N101EL,N10 1EL,N,17.4,19.4,63.89,,16.8,64,64,,1.2,1.7,10.49,,1.1,10,10,,0,0,0,17,1,0,1,325,254,,264,1041,1041,
N101EN,N10 1EN,N,39.9,39.4,51.7,,16.5,44.4,44.4,,8.6,7.6,10,,1,9,9,,0,0,0,2,9,0,9,548,429,,254,613,613,
N101ER,N10 1ER,N,78.1,108.7,331,8,13.3,93.2,127.1,330.7,20,18.5,49.96,1,1,18.7,21.9,40.7,0,0,1,3,18,3,21,531,411,174,876,483,474,417
N101ET,N10 1ET,N,75.8,68.1,158.48,6,19.5,80.3,80.3,,19.5,15.8,29.97,1,5,18.7,18.7,,0,1,1,2,18,0,18,491,372,417,480,500,500,
