postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NW100AA,NW10 0AA,NW,76.3,56,80,4.5,,70.9,70.9,,20,15.7,20,0.5,,20,20,,0,2,0,0,7,0,7,62,28,0,,71,71,
NW100AD,NW10 0AD,NW,77.2,64.1,80,2,,69.3,69.3,,20,16.7,20,0.5,,18,18,,1,1,0,0,24,0,24,466,188,6,,485,485,
NW100AF,NW10 0AF,NW,71.8,59.7,79.91,1,,63.9,63.9,,19.5,15.6,20,1,,16.7,16.7,,1,0,0,0,14,0,14,666,545,31,,712,712,
NW100AG,NW10 0AG,NW,156,167.6,331,,,135,167.7,331,20.5,21.3,36,,,18.4,21.3,36,0,0,0,0,5,1,6,402,206,,,402,335,0
NW100AL,NW10 0AL,NW,74.2,63.9,79.91,,26,67.1,67.1,,19.5,16.1,20,,5,17.1,17.1,,0,0,0,1,12,0,12,665,676,,676,665,665,
NW100AN,NW10 0AN,NW,49,49.6,71.91,0,,51.4,51.4,,10,11.7,19.4,1,,12.1,12.1,,1,0,0,0,28,0,28,787,705,2,,815,815,
NW100AP,NW10 0AP,NW,107,90.8,107,,,90.8,90.8,,10,11.9,19.53,,,12,12,,0,0,0,0,5,0,5,593,564,,,593,593,
NW100AR,NW10 0AR,NW,79.7,100,331,3,18,98.4,105.1,331,19.5,17,36,1,7,17.2,17.7,36,0,1,0,1,34,1,35,783,587,22,2007,758,770,1160
NW100AS,NW10 0AS,NW,79.7,100.1,205,3,26,106.2,106.2,,19.3,15,21,1,6,15.8,15.8,,0,1,0,1,28,0,28,526,473,117,394,546,546,
NW100AU,NW10 0AU,NW,70.8,80.5,205,,10,85.9,85.9,,16,14.4,21,,1,15.4,15.4,,0,0,0,1,13,0,13,546,461,,0,588,588,
