postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SE100AA,SE10 0AA,SE,72.9,84.6,205,,15,94.6,94.6,,14.8,13.9,21,,1,15.7,15.7,,0,0,0,1,7,0,7,548,573,,589,542,542,
SE100AB,SE10 0AB,SE,65.9,65.8,205,7,21.5,79.6,79.6,,10,11.6,21,1,1.5,14.6,14.6,,0,0,1,4,17,0,17,401,346,58,169,476,476,
SE100AD,SE10 0AD,SE,52.5,54.6,107,,13,57.5,57.5,,14.1,13.5,20,,1,14.4,14.4,,0,0,0,1,14,0,14,1056,551,,96,1125,1125,
SE100AE,SE10 0AE,SE,64.3,65.2,107,,,65.2,65.2,,16.7,16.2,20,,,16.2,16.2,,0,0,0,0,22,0,22,1274,1189,,,1274,1274,
SE100AH,SE10 0AH,SE,73.6,114.9,331,,20,88.5,118.8,331,12.1,16,36,,1,13.9,16.6,36,0,0,0,1,21,3,24,481,381,,392,463,464,474
SE100AN,SE10 0AN,SE,78.1,73.2,79.91,,,73.2,73.2,,19.5,18.4,20,,,18.4,18.4,,0,0,0,0,15,0,15,845,598,,,845,845,
SE100AQ,SE10 0AQ,SE,55.4,50.2,78.05,7,17,63.1,63.1,,15,12.6,20,1,1,16.8,16.8,,0,0,1,3,11,0,11,674,515,302,355,794,794,
SE100AS,SE10 0AS,SE,78.1,63.2,80,,,63.2,63.2,,19.5,15.8,20,,,15.8,15.8,,0,0,0,0,5,0,5,692,832,,,692,692,
SE100AW,SE10 0AW,SE,53.7,58.2,78.08,,,58.2,58.2,,12.1,12.6,15.99,,,12.6,12.6,,0,0,0,0,5,0,5,1171,1356,,,1171,1171,
SE100AZ,SE10 0AZ,SE,54.8,55.4,78.13,,20,61.3,61.3,,15.7,13.7,20,,1,15.8,15.8,,0,0,0,2,12,0,12,816,617,,239,912,912,
