postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SW100AA,SW10 0AA,SW,1000,646.2,1000,,,100,646.2,888.9,,,,,,0,0,0,0,0,0,0,4,9,13,,,,,0,0,0
SW100AD,SW10 0AD,SW,79.7,69.4,107,,14,83.3,83.3,,18.7,14,20,,1,17.3,17.3,,0,0,0,1,4,0,4,131,49,,9,161,161,
SW100AF,SW10 0AF,SW,70.1,61.6,79.91,,13,67,67,,19.5,16.1,20,,1.3,17.8,17.8,,0,0,0,3,27,0,27,629,562,,524,641,641,
SW100AG,SW10 0AG,SW,72,64.4,79.67,,,64.5,64.5,,19.2,17.3,20,,,17.3,17.3,,0,0,0,0,11,0,11,518,352,,,518,518,
SW100AH,SW10 0AH,SW,59.5,58.5,76.33,,,58.5,58.5,,13.1,14.3,20,,,14.3,14.3,,0,0,0,0,6,0,6,255,137,,,255,255,
SW100AJ,SW10 0AJ,SW,107,166.1,593,9,,110,170.2,396,20,19.8,39,1,,16,20.3,36.4,0,0,1,0,30,8,38,378,304,11,,346,347,351
SW100AN,SW10 0AN,SW,103.5,198.2,1000,6,,97.1,211,666.7,10,13.2,20,0,,9.8,7.9,0,0,0,1,0,12,3,15,265,160,0,,155,124,0
SW100AP,SW10 0AP,SW,76.3,163.2,1000,5,14.5,92.4,180.7,865,10,13.6,36,1,8,11,10.8,9,0,1,1,2,31,4,35,293,186,84,135,202,189,83
SW100AQ,SW10 0AQ,SW,107,104.1,205,,,104.1,104.1,,17.2,15.3,21,,,15.3,15.3,,0,0,0,0,9,0,9,311,177,,,276,276,
SW100AR,SW10 0AR,SW,78.2,143.3,1000,5,25,88.8,154,610.3,17.8,16.4,36,0,7,8.1,8.6,12,0,0,1,1,21,3,24,205,166,0,253,95,83,0
