postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
W104AA,W10 4AA,W,42.2,44.2,80,8,20.8,70.7,70.7,,11.1,9.8,20,0.5,3.5,16.8,16.8,,0,0,4,4,9,0,9,297,170,4,95,484,484,
W104AB,W10 4AB,W,75.4,61.4,79.91,,15,69.9,69.9,,19.5,14.3,20,,1,16.7,16.7,,0,0,0,2,11,0,11,847,574,,443,920,920,
W104AD,W10 4AD,W,78.1,71.3,79.91,,18,76.2,76.2,,19.5,17.1,20,,1,18.5,18.5,,0,0,0,1,11,0,11,899,719,,169,965,965,
W104AE,W10 4AE,W,78.1,84.8,331,4.5,16,84.3,91.5,331,19.5,16.1,36,0.5,1,16.9,17.5,36,1,0,1,1,33,1,34,451,390,26,0,462,463,504
W104AG,W10 4AG,W,76.4,68.2,107,,21.5,72.6,72.6,,19.5,15.4,20,,1,16.8,16.8,,0,0,0,2,21,0,21,648,655,,193,692,692,
W104AH,W10 4AH,W,79.7,142.2,1000,,18.3,89.1,158.2,625,19.3,14.8,20,,1.3,14,12.2,0,0,0,0,4,27,4,31,690,442,,405,605,527,0
W104AJ,W10 4AJ,W,75.3,61.1,156.08,,16.7,67.8,67.8,,19.2,14.6,28.3,,4.7,16.1,16.1,,0,0,0,3,20,0,20,738,769,,434,784,784,
W104AL,W10 4AL,W,80,102.9,460,10,18,86.6,117.8,460,10,13.5,36,1,1,13.7,15.6,36,0,0,1,1,11,1,12,259,220,17,200,290,284,215
W104AN,W10 4AN,W,78.1,78.9,331,,19.4,80,86.5,331,15.2,14.1,36,,1.2,15.2,15.7,36,0,0,0,5,38,1,39,433,311,,180,466,454,0
W104AP,W10 4AP,W,60.5,61.1,79.21,,,61.1,61.1,,17.7,17,20,,,17,17,,0,0,0,0,7,0,7,1331,1173,,,1331,1331,
W104AQ,W10 4AQ,W,47.3,46.1,78.12,,14.7,65,65,,10,10.2,19.98,,1,15.8,15.8,,0,0,0,3,5,0,5,390,378,,248,475,475,
W104AR,W10 4AR,W,77.6,68.6,79.91,,20.3,71.2,71.2,,19.5,17.2,20,,1.3,18,18,,0,0,0,3,54,0,54,619,487,,426,630,630,
W104AS,W10 4AS,W,60,57.7,80,,23,67.1,67.1,,19.5,14.4,20,,4,17.2,17.2,,0,0,0,3,11,0,11,450,291,,151,532,532,
W104AX,W10 4AX,W,76.3,67.7,205,1,16.4,85.9,85.9,,10,12.2,21,0,2.6,15.6,15.6,,1,0,0,9,29,0,29,350,222,4,61,416,416,
W104AY,W10 4AY,W,76.3,74.1,205,7,17.2,84.7,84.7,,10,11.7,21,1,1.2,13.6,13.6,,0,0,1,5,33,0,33,833,532,370,406,861,861,
W104BA,W10 4BA,W,72.2,58.5,79.91,,18.1,68.5,68.5,,19.5,13.8,20,,1.1,17,17,,0,0,0,9,36,0,36,528,361,,230,588,588,
W104BB,W10 4BB,W,74.4,54.2,79.91,5.5,17.8,75.8,75.8,,19.5,12.6,20,1,1,18.8,18.8,,0,1,1,5,13,0,13,655,365,80,191,871,871,
W104BF,W10 4BF,W,78.1,177.3,1000,,,95,177.3,1000,16.5,15.6,20,,,5.5,5,0,0,0,0,0,20,2,22,1024,550,,,307,279,0
W104BH,W10 4BH,W,150,250.3,1000,,,106.4,250.3,928.6,30,30,30,,,0.9,0.8,0,0,0,0,0,33,7,40,674,674,,,20,17,0
W104BP,W10 4BP,W,39.5,48.1,76.32,,,48,48,,10,12,19.53,,,12,12,,0,0,0,0,6,0,6,784,649,,,784,784,
W104BQ,W10 4BQ,W,76.3,82.9,460,8,19.5,74.3,92.3,460,11.9,14.4,36,1,2.3,15.1,16.1,36,0,0,2,4,41,2,43,390,342,2,308,381,379,337
W104BS,W10 4BS,W,79.7,78.2,79.75,,,78.3,78.3,,20,20,20,,,20,20,,0,0,0,0,8,0,8,828,947,,,828,828,
W104BW,W10 4BW,W,74.8,57.2,80,,18.4,72.1,72.1,,19.1,13.8,20,,2.8,17.9,17.9,,0,0,0,5,13,0,13,772,422,,334,881,881,
W104DA,W10 4DA,W,62.4,56.8,79.66,,15,62.7,62.7,,19.1,14.7,19.98,,1,16.7,16.7,,0,0,0,1,7,0,7,584,520,,110,652,652,
W104DD,W10 4DD,W,63.3,59.1,79.67,,22,61.9,61.9,,18.8,14.9,20,,1,15.9,15.9,,0,0,0,1,13,0,13,718,796,,73,767,767,
W104DH,W10 4DH,W,68.3,59.9,79.91,,23,67.2,67.2,,19.2,14.9,20,,1,17.6,17.6,,0,0,0,1,5,0,5,735,576,,26,877,877,
W104DL,W10 4DL,W,65.1,55.6,80,4,20.1,68.8,68.8,,19.1,13.4,20,0,1.8,17.6,17.6,,0,1,0,9,28,0,28,398,234,237,157,482,482,
W104DN,W10 4DN,W,39.5,43.1,78.12,,22.3,54.4,54.4,,10,10.2,20,,3.9,13.5,13.5,,0,0,0,7,13,0,13,239,191,,218,250,250,
W104DP,W10 4DP,W,37.2,44.9,80,1,19,70,70,,10,10.1,20,0,1.2,18,18,,1,0,0,6,8,0,8,497,341,0,293,712,712,
W104DQ,W10 4DQ,W,76.1,67.7,79.91,,19,70.7,70.7,,19.5,17.7,20,,8,18.3,18.3,,0,0,0,1,16,0,16,511,319,,287,525,525,
W104DR,W10 4DR,W,48.8,48.9,79.67,8,20,61.4,61.4,,12.6,11.6,19.98,1,1,15.5,15.5,,0,0,1,2,8,0,8,518,174,1,292,639,639,
W104DS,W10 4DS,W,75,63.4,79.98,,22,67.3,67.3,,18.5,15.2,20,,1,16.5,16.5,,0,0,0,1,11,0,11,532,370,,788,508,508,
W104DT,W10 4DT,W,52.5,47.5,76,,17.7,56.4,56.4,,10,10.4,20,,1,13.2,13.2,,0,0,0,3,10,0,10,506,305,,569,487,487,
W104DU,W10 4DU,W,47.1,49.4,78.12,,18.8,58.1,58.1,,10,10.9,20,,1.5,13.5,13.5,,0,0,0,4,14,0,14,531,392,,284,602,602,
W104DW,W10 4DW,W,75.3,61.7,78.12,,18.5,74,74,,19.5,15.2,20,,1,19.3,19.3,,0,0,0,2,7,0,7,482,340,,212,559,559,
W104DX,W10 4DX,W,74.4,64.9,80,,20.7,71,71,,19,15.5,20,,1.7,17.4,17.4,,0,0,0,3,22,0,22,793,450,,256,866,866,
W104DY,W10 4DY,W,76.4,59.2,80,7,17.6,71,71,,19.5,14.4,20,1,1,18.1,18.1,,0,0,1,5,22,0,22,461,448,346,137,498,498,
W104DZ,W10 4DZ,W,78.1,63,79.67,,23,71,71,,19.5,15,20,,1,17.8,17.8,,0,0,0,1,5,0,5,942,1044,,100,1110,1110,
W104EA,W10 4EA,W,57.5,55.5,79.67,,14,59.7,59.7,,12.5,13.6,20,,1,14.9,14.9,,0,0,0,2,20,0,20,541,443,,614,534,534,
W104EB,W10 4EB,W,67.6,57.6,80,,19,66.1,66.1,,19.3,14.8,20,,1,17.9,17.9,,0,0,0,2,9,0,9,747,385,,117,887,887,
W104ED,W10 4ED,W,76.1,63,79.67,,17.3,70.4,70.4,,19.5,14.8,20,,1.3,17,17,,0,0,0,4,25,0,25,514,412,,198,564,564,
