postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WC1A1DB,WC1A 1DB,WC,331,320.3,1096,,20,128.8,328.5,480.6,36,31.1,115,,1,14.6,31.9,45.1,0,0,0,1,16,21,37,556,240,,0,169,361,506
WC1A1EP,WC1A 1EP,WC,78.4,74.7,205,,18.5,93.5,93.5,,19.8,14,21,,1,18.5,18.5,,0,0,0,2,6,0,6,386,136,,68,428,428,
WC1A1JB,WC1A 1JB,WC,107,158.7,593,,17.8,139.7,210,526.5,10,13.5,39,,1,13.7,18,37.5,0,0,0,4,9,2,11,314,183,,73,442,373,62
WC1A1JT,WC1A 1JT,WC,79.7,73,79.99,,,73,73,,20,18.2,20,,,18.2,18.2,,0,0,0,0,11,0,11,283,275,,,283,283,
WC1A1LH,WC1A 1LH,WC,56.4,58.1,107,,14.3,66.8,66.8,,10,12.6,20,,1,14.9,14.9,,0,0,0,3,15,0,15,164,81,,24,170,170,
WC1A1LY,WC1A 1LY,WC,22,146.7,1096,8,18.5,157.3,379.6,713,1.2,12.1,50,0,1.1,20.3,32,49.5,0,0,1,8,3,2,5,268,77,11,59,725,547,280
WC1A1NJ,WC1A 1NJ,WC,107,119.2,331,,,92.8,119.2,331,19.5,17.3,36,,,15,17.3,36,0,0,0,0,8,1,9,189,245,,,212,188,0
WC1A1NL,WC1A 1NL,WC,79.7,99.8,205,,24,106.7,106.7,,19.7,16.8,21,,1,18.3,18.3,,0,0,0,1,11,0,11,357,360,,121,379,379,
WC1A1NS,WC1A 1NS,WC,107,112,331,,20,90.8,125.1,331,10,13.3,36,,1,11.5,15,36,0,0,0,1,6,1,7,230,191,,43,228,257,429
WC1A2AH,WC1A 2AH,WC,52.1,126.1,331,,21.8,163.3,230.4,331,10.6,14,36,,1.2,20.7,26.8,36,0,0,0,5,3,2,5,155,63,,21,30,133,289
WC1A2ED,WC1A 2ED,WC,13.8,14.6,23.22,10,15.6,,,,1.1,1.1,1.24,1,1,,,,0,0,1,5,0,0,0,98,64,285,60,,,
WC1A2HR,WC1A 2HR,WC,107,141.7,460,,16.6,126.6,241.7,356.8,10,13.9,36,,1.1,12.2,24.1,36,0,0,0,8,5,5,10,351,210,,149,216,373,530
WC1A2JA,WC1A 2JA,WC,73,105.8,331,,19,114.5,157.8,331,9.9,11.3,36,,1,12.8,17.4,36,0,0,0,3,4,1,5,277,245,,73,437,400,253
WC1A2JD,WC1A 2JD,WC,20.6,45.5,107,6.5,19.5,88.7,88.7,,1.2,4,10,0.5,1,8.3,8.3,,0,0,2,2,3,0,3,125,145,16,158,177,177,
WC1A2JR,WC1A 2JR,WC,107,95.5,460,,18.6,124.1,158,395.5,10,8.8,36,,1.1,12,15,36,0,0,0,13,14,2,16,191,115,,27,210,241,453
WC1A2JS,WC1A 2JS,WC,107,94.4,205,,14,126.6,126.6,,10,9,21,,1,12.2,12.2,,0,0,0,2,5,0,5,233,151,,10,275,275,
WC1A2JU,WC1A 2JU,WC,107,109.1,205,,22,126.6,126.6,,10,10.4,21,,1,12.2,12.2,,0,0,0,1,5,0,5,441,436,,543,420,420,
WC1A2JX,WC1A 2JX,WC,107,102.9,205,,18,127.1,127.1,,10,9.9,21,,1,12.4,12.4,,0,0,0,2,7,0,7,289,258,,299,287,287,
WC1A2LD,WC1A 2LD,WC,107,71.8,107,,19,107,107,,10,6.4,10,,1,10,10,,0,0,0,4,6,0,6,278,193,,172,350,350,
WC1A2LH,WC1A 2LH,WC,107,120.9,205,,22.5,149,149,,10,11.7,21,,1,14.7,14.7,,0,0,0,2,7,0,7,276,162,,54,340,340,
WC1A2LP,WC1A 2LP,WC,15.4,20.1,107,4.7,18.1,79.5,79.5,,1.2,1.6,10,0.8,1.1,7.5,7.5,,2,1,3,13,2,0,2,142,34,134,113,0,0,
WC1A2SA,WC1A 2SA,WC,21,44,160,8,20.8,120,120,,1.1,7,30,1,1,25,25,,0,0,1,5,2,0,2,95,77,0,103,124,124,
WC1A2SE,WC1A 2SE,WC,107,135.1,460,,17.7,139.7,185.4,460,10,12.2,36,,1.3,13.7,16.9,36,0,0,0,3,6,1,7,157,107,,106,155,157,166
WC1B3AA,WC1B 3AA,WC,150,312.7,1000,,20,129.6,371.3,582.8,5.6,14.3,36,,1.3,1.4,5.5,9,0,0,0,3,7,8,15,104,16,,6,4,34,60
WC1B3AD,WC1B 3AD,WC,107,259.6,1096,,,102.2,259.6,731.8,15.5,22.7,49,,,4.3,8.5,21.3,0,0,0,0,12,4,16,443,448,,,115,111,98
WC1B3AE,WC1B 3AE,WC,150,295.6,1000,,22,120.3,304.5,754.6,10,15.5,36,,1,4.4,5.5,8,0,0,0,1,22,9,31,217,137,,17,40,62,117
WC1B3AG,WC1B 3AG,WC,205,386.2,1000,,20,146.9,487.9,828.9,5.6,11.4,36,,1,8.1,6.1,4,0,0,0,5,9,9,18,349,293,,142,246,155,63
WC1B3AH,WC1B 3AH,WC,20.4,19.6,23.73,7,20.5,,,,1.2,1.2,1.27,1,1.2,,,,0,0,1,14,0,0,0,245,218,220,194,,,
WC1B3BE,WC1B 3BE,WC,22,183.3,1096,6.5,18.4,126.6,387.4,713.5,1.2,12.1,49,0.5,1.1,12.2,25.7,42.5,0,1,1,9,5,4,9,445,143,28,158,660,727,811
WC1B3BJ,WC1B 3BJ,WC,107,104.5,331,,19,121,147.3,331,10,10.1,36,,1.3,11.6,14.6,36,0,0,0,4,7,1,8,354,295,,344,316,359,664
WC1B3BN,WC1B 3BN,WC,22.3,47.3,205,9,20.8,139.7,139.7,,1.3,4,21,1,1.1,13.7,13.7,,0,0,1,9,3,0,3,184,158,8,162,249,249,
WC1B3BS,WC1B 3BS,WC,14.6,14.3,18.26,9.5,16.2,,,,1.2,1.1,1.23,1,1.2,,,,0,0,2,5,0,0,0,218,278,142,161,,,
WC1B3NA,WC1B 3NA,WC,24.3,63.6,205,,20.3,128.5,128.5,,1.2,5.9,21,,1,13,13,,0,0,0,3,2,0,2,187,152,,149,152,152,
WC1B3NH,WC1B 3NH,WC,21.3,42.1,107,2,19.8,107,107,,1.1,3.6,10,1,1.3,10,10,,0,1,0,4,2,0,2,41,34,0,39,47,47,
WC1B3PH,WC1B 3PH,WC,59.4,49.2,78.12,8,28,69.7,69.7,,19.5,14,19.98,1,10,19.7,19.7,,0,0,1,1,3,0,3,842,708,0,708,1168,1168,
WC1B3PS,WC1B 3PS,WC,15.2,41.1,205,8.5,16.5,205,205,,1,3.9,21,1,1,21,21,,0,0,2,4,1,0,1,289,83,33,61,1427,1427,
WC1B3QA,WC1B 3QA,WC,17.7,19.6,79.75,1,17.6,80,80,,1.2,1.9,20,0,1.1,20,20,,1,0,0,20,1,0,1,203,83,95,195,280,280,
WC1B3QE,WC1B 3QE,WC,15.6,96.8,593,6,15.5,107,350,593,0.9,6.8,39,0.5,1,10,24.5,39,1,0,1,4,1,1,2,74,65,56,52,201,101,0
WC1B3QT,WC1B 3QT,WC,48.3,86.2,331,,16.8,97,155.5,331,5.8,9.8,36,,1.3,12.7,18.5,36,0,0,0,4,3,1,4,431,280,,110,644,536,213
WC1B4BA,WC1B 4BA,WC,107,160.8,593,,17,147.5,238.2,383.4,10,15.8,39,,1.1,15.5,23.6,36.6,0,0,0,7,8,5,13,397,286,,120,420,362,271
WC1B4BJ,WC1B 4BJ,WC,205,194.4,331,,16,205,230.2,331,21,20.2,36,,1,21,24,36,0,0,0,1,4,1,5,414,351,,553,414,386,273
WC1B4BP,WC1B 4BP,WC,18.9,121.6,460,10,15.5,107,283.5,460,1.2,9.9,36,1,1,10,23,36,0,0,1,2,1,1,2,248,307,307,61,433,406,378
WC1B4BS,WC1B 4BS,WC,156,162.7,331,,21,156,191,331,15.5,16.5,36,,1,15.5,19.6,36,0,0,0,1,4,1,5,289,209,,0,301,346,526
WC1B4ET,WC1B 4ET,WC,66.7,47.7,79.67,4.5,,65,65,,19.7,13.1,20,1,,17.8,17.8,,1,0,1,0,5,0,5,345,209,0,,414,414,
WC1B4HA,WC1B 4HA,WC,60,54.1,78.12,9,14,62.6,62.6,,14.3,13.3,20,1,1,15.7,15.7,,0,0,1,1,10,0,10,363,386,386,0,360,360,
WC1B4HH,WC1B 4HH,WC,79.7,88.6,331,7.5,14.3,96.2,107.9,331,18.2,14,36,1,1,16.3,17.3,36,0,0,2,3,19,1,20,254,176,9,36,258,261,316
WC1B5AE,WC1B 5AE,WC,107,112.2,331,,19,131.5,153.7,331,10,11,36,,1.3,12.8,15.3,36,0,0,0,4,8,1,9,299,283,,230,333,296,1
WC1B5AH,WC1B 5AH,WC,62.7,59.7,78.12,,,59.8,59.8,,13.8,14.6,20,,,14.6,14.6,,0,0,0,0,8,0,8,850,455,,,850,850,
WC1B5AJ,WC1B 5AJ,WC,107,107.8,205,,13.5,128.8,128.8,,10,10.4,21,,1,12.4,12.4,,0,0,0,2,9,0,9,291,190,,204,310,310,
WC1B5BH,WC1B 5BH,WC,19.6,85,331,,16,146.2,177,331,1.1,8.2,36,,0.9,14.4,18,36,0,0,0,8,5,1,6,201,185,,141,320,282,88
WC1B5ER,WC1B 5ER,WC,107,157.5,593,8.5,14.8,131.2,215,445.4,10,14.1,39,0.5,1.1,12.8,19.3,37.1,0,0,2,10,22,8,30,288,256,122,163,229,197,108
WC1B5HA,WC1B 5HA,WC,8.1,9.4,23,6.4,18.4,,,,0.7,0.7,1.24,0.6,1,,,,1,2,12,5,0,0,0,1,0,0,1,,,
WC1B5JH,WC1B 5JH,WC,79.9,101.6,205,,18,109.9,109.9,,19.5,14.7,21,,1,16.1,16.1,,0,0,0,1,10,0,10,391,343,,432,387,387,
WC1E6AJ,WC1E 6AJ,WC,60.4,150.3,1000,,16,79.5,154,750,11.5,13,20,,1,6.4,5.7,0,0,0,0,1,32,4,36,400,310,,78,185,164,0
WC1E6DD,WC1E 6DD,WC,69.9,80.6,331,,19.7,73.8,97.2,331,16,15.3,36,,5.3,16.2,18,36,0,0,0,3,10,1,11,442,355,,254,416,413,391
WC1E6DX,WC1E 6DX,WC,20.3,19.6,23.82,10,20.1,,,,1.2,1.1,1.27,1,1.1,,,,0,0,1,19,0,0,0,209,97,0,209,,,
WC1E6DY,WC1E 6DY,WC,20.2,17.4,23.44,0,18.9,,,,1.2,1,1.27,0,1.1,,,,1,0,0,11,0,0,0,324,348,2,354,,,
WC1E6HG,WC1E 6HG,WC,19.9,46.6,107,,16.5,107,107,,1.1,4,10,,1,10,10,,0,0,0,4,2,0,2,213,212,,232,176,176,
WC1E6HH,WC1E 6HH,WC,63.8,75.2,205,,19,131.5,131.5,,5.6,6.9,21,,1.3,12.8,12.8,,0,0,0,4,4,0,4,257,258,,158,164,164,
WC1E6HJ,WC1E 6HJ,WC,76.1,50.4,80,9,17.8,79.2,79.2,,20,12.5,20,1,4.3,20,20,,0,0,1,4,6,0,6,486,368,0,337,504,504,
WC1E6HP,WC1E 6HP,WC,219,248.7,593,,23,107,293.8,418.3,23,22,39,,1,10,26.2,37,0,0,0,1,2,3,5,354,380,,380,241,278,302
WC1E6HR,WC1E 6HR,WC,107,158.7,331,10,20,146.2,199,331,10,16.3,36,1,1.3,14.4,20.6,36,0,0,1,3,10,4,14,410,444,103,296,328,398,574
WC1E6HU,WC1E 6HU,WC,107,147.8,331,,,117.3,147.9,331,20,17.6,36,,,14.5,17.6,36,0,0,0,0,6,1,7,406,407,,,181,290,943
WC1E6JP,WC1E 6JP,WC,107,194.8,1000,7,17,115.5,202.8,918.6,10,13.4,39,1,1,9.4,9.2,7.8,0,0,1,1,41,5,46,234,196,0,54,136,121,0
WC1E6JW,WC1E 6JW,WC,107,129.5,1000,2,19.5,105.5,148.4,750,10,9.6,21,1,1,6,5.6,0,0,1,0,4,28,2,30,159,126,91,119,70,66,0
WC1E7AG,WC1E 7AG,WC,107,102.2,205,,20.3,149,149,,10,9.8,21,,1.3,14.7,14.7,,0,0,0,4,7,0,7,493,539,,500,419,419,
WC1E7AH,WC1E 7AH,WC,13.1,13.3,22.4,4,16.8,,,,0.9,0.8,1.26,0.3,1,,,,1,0,2,8,0,0,0,336,298,160,361,,,
WC1E7AP,WC1E 7AP,WC,107,144.8,331,,12,138.9,158.1,331,10,15.5,36,,1,14.9,17,36,0,0,0,1,9,1,10,271,227,,66,276,292,433
